           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
   12684.441338 [0002]  budgie-wm[1560]                     0.013      0.006      0.250 
   12684.441346 [0000]  Xorg[1087]                          0.247      0.005      0.012 
   12684.441347 [0002]  <idle>                              0.250      0.000      0.008 
   12684.441606 [0006]  <idle>                              0.040      0.000      1.568 
   12684.441622 [0002]  budgie-wm[1560]                     0.008      0.006      0.275 
   12684.441658 [0001]  <idle>                              0.004      0.000     14.639 
   12684.441664 [0006]  budgie-wm:cs0[1567/1560]           16.603      0.007      0.058 
   12684.441669 [0002]  <idle>                              0.275      0.000      0.046 
   12684.441677 [0001]  gfx[850]                           14.639      0.005      0.019 
   12684.441695 [0000]  <idle>                              0.012      0.000      0.349 
   12684.441706 [0002]  budgie-wm[1560]                     0.046      0.009      0.037 
   12684.441747 [0003]  <idle>                              0.019      0.000      1.865 
   12684.441772 [0002]  <idle>                              0.037      0.000      0.066 
   12684.441773 [0000]  Xorg[1087]                          0.349      0.005      0.078 
   12684.441795 [0003]  kworker/u32:13-[17311]              1.865      0.008      0.048 
   12684.441815 [0000]  <idle>                              0.078      0.000      0.041 
   12684.441828 [0006]  <idle>                              0.058      0.000      0.164 
   12684.441830 [0000]  Xorg[1087]                          0.041      0.005      0.014 
   12684.441839 [0002]  budgie-wm[1560]                     0.066      0.007      0.066 
   12684.442305 [0001]  <idle>                              0.019      0.000      0.628 
   12684.442306 [0003]  <idle>                              0.048      0.000      0.511 
   12684.442310 [0001]  gfx[850]                            0.628      0.004      0.005 
   12684.442354 [0003]  kworker/u32:13-[17311]              0.511      0.006      0.047 
   12684.442720 [0000]  <idle>                              0.014      0.000      0.890 
   12684.442729 [0006]  tilix[2046]                         1.790      0.003      0.900 
   12684.442813 [0004]  <idle>                              0.028      0.000     16.090 
   12684.442818 [0000]  Xorg[1087]                          0.890      0.005      0.097 
   12684.442845 [0001]  <idle>                              0.005      0.000      0.535 
   12684.442851 [0004]  Xorg:cs0[1091/1087]                16.090      0.008      0.037 
   12684.442851 [0000]  <idle>                              0.097      0.000      0.033 
   12684.442865 [0001]  gfx[850]                            0.535      0.004      0.019 
   12684.442941 [0001]  <idle>                              0.019      0.000      0.076 
   12684.442946 [0004]  <idle>                              0.037      0.000      0.095 
